Origin,Destination,Rate,Origin_Part_1,Origin_Part_2,Origin_Part_3,Destination_Part_1,Destination_Part_2,Destination_Part_3
"Sterling Located in Logan County, CO","Pawnee Located in Weld County, CO",N/A,Sterling,Logan County,CO,Pawnee,Weld County,CO
"Sterling Located in Logan County, CO","Buckingham Located in Weld County, CO",N/A,Sterling,Logan County,CO,Buckingham,Weld County,CO
"Sterling Located in Logan County, CO","Sterling Located in Logan County, CO",N/A,Sterling,Logan County,CO,Sterling,Logan County,CO
"Sterling Located in Logan County, CO","Augusta Located in Butler County, KS (El Dorado)2",630.43,Sterling,Logan County,CO,Augusta,Butler County,KS
"Sterling Located in Logan County, CO","McPherso n Located in McPherso n County, KS2",630.43,Sterling,Logan County,CO,McPherso n,McPherso n County,KS
"Sterling Located in Logan County, CO","P66 Ponca City Located in Kay County, OK",630.43,Sterling,Logan County,CO,P66 Ponca City,Kay County,OK
"Sterling Located in Logan County, CO","Various Cushing Destinatio ns Located in Payne County, OK3",630.43,Sterling,Logan County,CO,Various Cushing Destinatio ns,Payne County,OK
"Natoma Located in Rooks County, KS","Pawnee Located in Weld County, CO",N/A,Natoma,Rooks County,KS,Pawnee,Weld County,CO
"Natoma Located in Rooks County, KS","Buckingham Located in Weld County, CO",N/A,Natoma,Rooks County,KS,Buckingham,Weld County,CO
"Natoma Located in Rooks County, KS","Sterling Located in Logan County, CO",N/A,Natoma,Rooks County,KS,Sterling,Logan County,CO
"Natoma Located in Rooks County, KS","Augusta Located in Butler County, KS (El Dorado)2",N/A,Natoma,Rooks County,KS,Augusta,Butler County,KS
"Natoma Located in Rooks County, KS","McPherso n Located in McPherso n County, KS2",N/A,Natoma,Rooks County,KS,McPherso n,McPherso n County,KS
"Natoma Located in Rooks County, KS","P66 Ponca City Located in Kay County, OK",172.96,Natoma,Rooks County,KS,P66 Ponca City,Kay County,OK
"Natoma Located in Rooks County, KS","Various Cushing Destinatio ns Located in Payne County, OK3",172.96,Natoma,Rooks County,KS,Various Cushing Destinatio ns,Payne County,OK
