Pipeline,EffectiveDate,PageNumber,RateType,Origin,Destination,Rate
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Guernsey HH Located in Platte County, WY","Various Cushing Destinations Located in Payne County, OK3",282.71
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Carpenter Located in Laramie County, WY","Pawnee Located in Weld County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Carpenter Located in Laramie County, WY","Buckingham Located in Weld County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Carpenter Located in Laramie County, WY","Augusta Located in Butler County, KS (El Dorado)2",282.71
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Carpenter Located in Laramie County, WY","McPherson Located in McPherson County, KS2",282.71
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Carpenter Located in Laramie County, WY","P66 Ponca City Located in Kay County, OK",282.71
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Carpenter Located in Laramie County, WY","Various Cushing Destinations Located in Payne County, OK3",282.71
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Platteville Located in Weld County, CO","Pawnee Located in Weld County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Platteville Located in Weld County, CO","Buckingham Located in Weld County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Platteville Located in Weld County, CO","Augusta Located in Butler County, KS (El Dorado)2",282.71
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Platteville Located in Weld County, CO","McPherson Located in McPherson County, KS2",282.71
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Platteville Located in Weld County, CO","P66 Ponca City Located in Kay County, OK",282.71
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Platteville Located in Weld County, CO","Various Cushing Destinations Located in Payne County, OK3",282.71
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Buckingham Located in Weld County, CO","Pawnee Located in Weld County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Buckingham Located in Weld County, CO","Buckingham Located in Weld County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Buckingham Located in Weld County, CO","Augusta Located in Butler County, KS (El Dorado)2",282.71
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Buckingham Located in Weld County, CO","McPherson Located in McPherson County, KS2",282.71
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Buckingham Located in Weld County, CO","P66 Ponca City Located in Kay County, OK",282.71
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Buckingham Located in Weld County, CO","Various Cushing Destinations Located in Payne County, OK3",282.71
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Pawnee Located in Weld County, CO","Pawnee Located in Weld County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Pawnee Located in Weld County, CO","Buckingham Located in Weld County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Pawnee Located in Weld County, CO","Augusta Located in Butler County, KS (El Dorado)2",282.71
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Pawnee Located in Weld County, CO","McPherson Located in McPherson County, KS2",282.71
